mz,rt,rt1,rt2,intensity,z,pic_label,score
478.725228354745,1316.9777315763367,1308.83351913834,1321.68787363911,1039656.8505859376,2,1316.9777315763367_478.725228354745_1039656.8505859376,
561.8148437210161,1317.838414188847,1314.0557576789702,1320.7984997406,618129.2236328125,2,1317.838414188847_561.8148437210161_618129.2236328125,
372.86668691208735,1317.1338288441764,1313.37239424132,1325.81417266272,1404015.2424316406,3,1317.1338288441764_372.86668691208735_1404015.2424316406,
378.5166637195816,1316.9822644713315,1314.0557576789702,1321.68787363911,951111.266357422,3,1316.9822644713315_378.5166637195816_951111.266357422,
499.2276647765399,1320.4284326909487,1310.68585566426,1324.5232131852897,718490.5986328125,2,1320.4284326909487_499.2276647765399_718490.5986328125,
474.2977716759788,1321.1555946388935,1318.08712867641,1324.5232131852897,881192.298828125,2,1321.1555946388935_474.2977716759788_881192.298828125,
367.53155701000543,1321.2688565406734,1316.61984614277,1325.81417266272,674561.3291015625,3,1321.2688565406734_367.53155701000543_674561.3291015625,
392.8632391243275,1324.3434437473284,1310.68585566426,1332.6100635900598,1129195.7036132812,3,1324.3434437473284_392.8632391243275_1129195.7036132812,
491.2449437961757,1321.3834888906854,1303.91106513879,1325.81417266272,2627625.69921875,2,1321.3834888906854_491.2449437961757_2627625.69921875,
532.2593639690701,1323.149621497683,1303.37889317415,1328.91208819293,5250424.638671875,2,1323.149621497683_532.2593639690701_5250424.638671875,
543.2503566456355,1322.480136650567,1311.27191761875,1327.41370169067,1204724.0131835938,2,1322.480136650567_543.2503566456355_1204724.0131835938,
371.2117731703027,1323.5043707077882,1319.1246161832898,1332.6100635900598,1683764.2404785156,3,1323.5043707077882_371.2117731703027_1683764.2404785156,
353.84363638938134,1321.5478412432258,1319.1246161832898,1330.50809613609,397001.8369140625,3,1321.5478412432258_353.84363638938134_397001.8369140625,
401.9457320860218,1325.273644341832,1320.7984997406,1328.91208819293,259448.228515625,3,1325.273644341832_401.9457320860218_259448.228515625,
457.7615203735219,1324.2826590590423,1309.92235819245,1332.6100635900598,5694084.3359375,2,1324.2826590590423_457.7615203735219_5694084.3359375,
468.7523892401509,1326.5158652274995,1311.27191761875,1328.91208819293,1515540.6634521484,2,1326.5158652274995_468.7523892401509_1515540.6634521484,
501.241138760586,1326.7557995314032,1319.1246161832898,1332.6100635900598,1119935.8740234375,2,1326.7557995314032_501.241138760586_1119935.8740234375,
545.7536115132655,1327.4479318190115,1321.68787363911,1328.91208819293,397483.8935546875,2,1327.4479318190115_545.7536115132655_397483.8935546875,
404.5248808274144,1327.4356311916351,1321.68787363911,1330.50809613609,685792.6484375,3,1327.4356311916351_404.5248808274144_685792.6484375,
498.2321387012094,1326.6180881874016,1319.1246161832898,1330.50809613609,772832.6528320312,2,1326.6180881874016_498.2321387012094_772832.6528320312,
521.7304667980727,1326.2643688965288,1308.83351913834,1330.50809613609,2096818.0712890625,2,1326.2643688965288_521.7304667980727_2096818.0712890625,
489.25523860259176,1328.226071165078,1323.13099912548,1332.6100635900598,697950.5390625,2,1328.226071165078_489.25523860259176_697950.5390625,
389.8543926278928,1329.3078755015772,1327.41370169067,1337.2240746393302,2465482.02734375,3,1329.3078755015772_389.8543926278928_2465482.02734375,
671.3031475211923,1328.890688585857,1327.41370169067,1332.6100635900598,328901.955078125,2,1328.890688585857_671.3031475211923_328901.955078125,
370.6930820367513,1337.2308553508856,1325.81417266272,1338.92442218208,3216420.232421875,2,1337.2308553508856_370.6930820367513_3216420.232421875,
388.1967469075243,1331.6425822126328,1325.81417266272,1350.5868236198698,1963484.29296875,3,1331.6425822126328_388.1967469075243_1963484.29296875,
350.5129155246055,1335.044713658118,1320.7984997406,1340.5196721925802,861490.3173828125,3,1335.044713658118_350.5129155246055_861490.3173828125,
368.2157399446061,1337.1796191271496,1328.91208819293,1342.1151045932702,520660.06787109375,3,1337.1796191271496_368.2157399446061_520660.06787109375,
455.7460259555804,1334.984571100227,1327.41370169067,1340.5196721925802,959976.3603515624,2,1334.984571100227_455.7460259555804_959976.3603515624,
361.1967709013795,1338.9412685897712,1325.81417266272,1340.5196721925802,618480.041015625,3,1338.9412685897712_361.1967709013795_618480.041015625,
466.2331003980219,1337.6410150610332,1327.41370169067,1343.9139255657,4181682.5390625,2,1337.6410150610332_466.2331003980219_4181682.5390625,
596.3099465223017,1338.9328322465071,1332.6100635900598,1340.5196721925802,1201142.0153312683,2,1338.9328322465071_596.3099465223017_1201142.0153312683,
353.1838524148962,1338.3952005849396,1327.41370169067,1343.9139255657,2124224.537109375,3,1338.3952005849396_353.1838524148962_2124224.537109375,
501.7505824123386,1331.2080278297328,1327.41370169067,1343.9139255657,1426005.1858825684,2,1331.2080278297328_501.7505824123386_1426005.1858825684,
542.7654832073538,1338.2488794346768,1330.50809613609,1342.1151045932702,1018613.1025390624,2,1338.2488794346768_542.7654832073538_1018613.1025390624,
475.76084047481766,1338.7087732159753,1325.81417266272,1352.18246165658,1749023.572265625,2,1338.7087732159753_475.76084047481766_1749023.572265625,
484.2194947706811,1335.2306244831098,1303.91106513879,1348.1539441719,1478571.5463867188,2,1335.2306244831098_484.2194947706811_1478571.5463867188,
475.7218491734488,1342.5234687605237,1328.91208819293,1349.294511117,605883.9736328125,2,1342.5234687605237_475.7218491734488_605883.9736328125,
376.5190350907006,1347.5960716860095,1338.92442218208,1352.18246165658,286081.5344238281,3,1347.5960716860095_376.5190350907006_286081.5344238281,
423.5376294828197,1348.1657622964362,1345.76354257011,1349.294511117,606089.736328125,3,1348.1657622964362_423.5376294828197_606089.736328125,
472.7235708087079,1347.0414451089257,1338.92442218208,1350.5868236198698,399907.404296875,2,1347.0414451089257_472.7235708087079_399907.404296875,
522.7755250613878,1346.2201605509788,1342.1151045932702,1350.5868236198698,682160.0512695312,2,1346.2201605509788_522.7755250613878_682160.0512695312,
363.84760117999775,1347.8875184893272,1340.5196721925802,1355.3721831216894,1335429.9360351562,3,1347.8875184893272_363.84760117999775_1335429.9360351562,
568.7533258890361,1349.302386881502,1342.1151045932702,1353.67629567528,650060.6572265625,2,1349.302386881502_568.7533258890361_650060.6572265625,
648.8062733610792,1348.1135065218073,1345.76354257011,1352.18246165658,562365.3408203125,2,1348.1135065218073_648.8062733610792_562365.3408203125,
